source,target,ma_window,horizon,denominator,hits,probability,source_name,target_name
chinext,csi1000,20,5,102,49,0.4803921568627451,创业板指,中证1000
chinext,csi300,20,5,102,43,0.4215686274509804,创业板指,沪深300
chinext,dividend,20,5,102,28,0.27450980392156865,创业板指,中证红利
chinext,sse,20,5,102,41,0.4019607843137255,创业板指,上证指数
chinext,sse50,20,5,102,30,0.29411764705882354,创业板指,上证50
chinext,star50,20,5,41,11,0.2682926829268293,创业板指,科创50
csi1000,chinext,20,5,104,41,0.3942307692307692,中证1000,创业板指
csi1000,csi300,20,5,131,42,0.32061068702290074,中证1000,沪深300
csi1000,dividend,20,5,131,39,0.29770992366412213,中证1000,中证红利
csi1000,sse,20,5,131,47,0.35877862595419846,中证1000,上证指数
csi1000,sse50,20,5,131,32,0.24427480916030533,中证1000,上证50
csi1000,star50,20,5,45,11,0.24444444444444444,中证1000,科创50
csi300,chinext,20,5,104,48,0.46153846153846156,沪深300,创业板指
csi300,csi1000,20,5,132,68,0.5151515151515151,沪深300,中证1000
csi300,dividend,20,5,132,77,0.5833333333333334,沪深300,中证红利
csi300,sse,20,5,132,97,0.7348484848484849,沪深300,上证指数
csi300,sse50,20,5,132,86,0.6515151515151515,沪深300,上证50
csi300,star50,20,5,43,13,0.3023255813953488,沪深300,科创50
dividend,chinext,20,5,103,29,0.2815533980582524,中证红利,创业板指
dividend,csi1000,20,5,134,50,0.373134328358209,中证红利,中证1000
dividend,csi300,20,5,134,68,0.5074626865671642,中证红利,沪深300
dividend,sse,20,5,134,71,0.5298507462686567,中证红利,上证指数
dividend,sse50,20,5,134,57,0.4253731343283582,中证红利,上证50
dividend,star50,20,5,46,4,0.08695652173913043,中证红利,科创50
sse,chinext,20,5,101,45,0.44554455445544555,上证指数,创业板指
sse,csi1000,20,5,130,70,0.5384615384615384,上证指数,中证1000
sse,csi300,20,5,130,89,0.6846153846153846,上证指数,沪深300
sse,dividend,20,5,130,78,0.6,上证指数,中证红利
sse,sse50,20,5,130,79,0.6076923076923076,上证指数,上证50
sse,star50,20,5,40,10,0.25,上证指数,科创50
sse50,chinext,20,5,109,32,0.29357798165137616,上证50,创业板指
sse50,csi1000,20,5,139,45,0.3237410071942446,上证50,中证1000
sse50,csi300,20,5,139,82,0.5899280575539568,上证50,沪深300
sse50,dividend,20,5,139,68,0.4892086330935252,上证50,中证红利
sse50,sse,20,5,139,82,0.5899280575539568,上证50,上证指数
sse50,star50,20,5,46,8,0.17391304347826086,上证50,科创50
star50,chinext,20,5,36,13,0.3611111111111111,科创50,创业板指
star50,csi1000,20,5,36,16,0.4444444444444444,科创50,中证1000
star50,csi300,20,5,36,11,0.3055555555555556,科创50,沪深300
star50,dividend,20,5,36,5,0.1388888888888889,科创50,中证红利
star50,sse,20,5,36,13,0.3611111111111111,科创50,上证指数
star50,sse50,20,5,36,6,0.16666666666666666,科创50,上证50
chinext,csi1000,20,10,102,60,0.5882352941176471,创业板指,中证1000
chinext,csi300,20,10,102,52,0.5098039215686274,创业板指,沪深300
chinext,dividend,20,10,102,39,0.38235294117647056,创业板指,中证红利
chinext,sse,20,10,102,48,0.47058823529411764,创业板指,上证指数
chinext,sse50,20,10,102,40,0.39215686274509803,创业板指,上证50
chinext,star50,20,10,41,13,0.3170731707317073,创业板指,科创50
csi1000,chinext,20,10,104,48,0.46153846153846156,中证1000,创业板指
csi1000,csi300,20,10,131,50,0.3816793893129771,中证1000,沪深300
csi1000,dividend,20,10,131,50,0.3816793893129771,中证1000,中证红利
csi1000,sse,20,10,131,54,0.4122137404580153,中证1000,上证指数
csi1000,sse50,20,10,131,42,0.32061068702290074,中证1000,上证50
csi1000,star50,20,10,45,12,0.26666666666666666,中证1000,科创50
csi300,chinext,20,10,104,55,0.5288461538461539,沪深300,创业板指
csi300,csi1000,20,10,132,77,0.5833333333333334,沪深300,中证1000
csi300,dividend,20,10,132,86,0.6515151515151515,沪深300,中证红利
csi300,sse,20,10,132,103,0.7803030303030303,沪深300,上证指数
csi300,sse50,20,10,132,91,0.6893939393939394,沪深300,上证50
csi300,star50,20,10,43,15,0.3488372093023256,沪深300,科创50
dividend,chinext,20,10,103,34,0.3300970873786408,中证红利,创业板指
dividend,csi1000,20,10,134,60,0.44776119402985076,中证红利,中证1000
dividend,csi300,20,10,134,73,0.5447761194029851,中证红利,沪深300
dividend,sse,20,10,134,78,0.582089552238806,中证红利,上证指数
dividend,sse50,20,10,134,63,0.4701492537313433,中证红利,上证50
dividend,star50,20,10,46,7,0.15217391304347827,中证红利,科创50
sse,chinext,20,10,101,51,0.504950495049505,上证指数,创业板指
sse,csi1000,20,10,130,77,0.5923076923076923,上证指数,中证1000
sse,csi300,20,10,130,92,0.7076923076923077,上证指数,沪深300
sse,dividend,20,10,130,89,0.6846153846153846,上证指数,中证红利
sse,sse50,20,10,130,87,0.6692307692307692,上证指数,上证50
sse,star50,20,10,40,11,0.275,上证指数,科创50
sse50,chinext,20,10,108,42,0.3888888888888889,上证50,创业板指
sse50,csi1000,20,10,138,62,0.4492753623188406,上证50,中证1000
sse50,csi300,20,10,138,90,0.6521739130434783,上证50,沪深300
sse50,dividend,20,10,138,78,0.5652173913043478,上证50,中证红利
sse50,sse,20,10,138,88,0.6376811594202898,上证50,上证指数
sse50,star50,20,10,45,13,0.28888888888888886,上证50,科创50
star50,chinext,20,10,36,18,0.5,科创50,创业板指
star50,csi1000,20,10,36,20,0.5555555555555556,科创50,中证1000
star50,csi300,20,10,36,14,0.3888888888888889,科创50,沪深300
star50,dividend,20,10,36,10,0.2777777777777778,科创50,中证红利
star50,sse,20,10,36,16,0.4444444444444444,科创50,上证指数
star50,sse50,20,10,36,12,0.3333333333333333,科创50,上证50
chinext,csi1000,20,20,102,72,0.7058823529411765,创业板指,中证1000
chinext,csi300,20,20,102,63,0.6176470588235294,创业板指,沪深300
chinext,dividend,20,20,102,56,0.5490196078431373,创业板指,中证红利
chinext,sse,20,20,102,61,0.5980392156862745,创业板指,上证指数
chinext,sse50,20,20,102,54,0.5294117647058824,创业板指,上证50
chinext,star50,20,20,41,20,0.4878048780487805,创业板指,科创50
csi1000,chinext,20,20,104,62,0.5961538461538461,中证1000,创业板指
csi1000,csi300,20,20,131,63,0.48091603053435117,中证1000,沪深300
csi1000,dividend,20,20,131,69,0.5267175572519084,中证1000,中证红利
csi1000,sse,20,20,131,69,0.5267175572519084,中证1000,上证指数
csi1000,sse50,20,20,131,63,0.48091603053435117,中证1000,上证50
csi1000,star50,20,20,45,18,0.4,中证1000,科创50
csi300,chinext,20,20,104,64,0.6153846153846154,沪深300,创业板指
csi300,csi1000,20,20,132,95,0.7196969696969697,沪深300,中证1000
csi300,dividend,20,20,132,97,0.7348484848484849,沪深300,中证红利
csi300,sse,20,20,132,110,0.8333333333333334,沪深300,上证指数
csi300,sse50,20,20,132,98,0.7424242424242424,沪深300,上证50
csi300,star50,20,20,43,22,0.5116279069767442,沪深300,科创50
dividend,chinext,20,20,103,49,0.47572815533980584,中证红利,创业板指
dividend,csi1000,20,20,134,74,0.5522388059701493,中证红利,中证1000
dividend,csi300,20,20,134,84,0.6268656716417911,中证红利,沪深300
dividend,sse,20,20,134,89,0.664179104477612,中证红利,上证指数
dividend,sse50,20,20,134,77,0.5746268656716418,中证红利,上证50
dividend,star50,20,20,46,17,0.3695652173913043,中证红利,科创50
sse,chinext,20,20,101,59,0.5841584158415841,上证指数,创业板指
sse,csi1000,20,20,130,89,0.6846153846153846,上证指数,中证1000
sse,csi300,20,20,130,98,0.7538461538461538,上证指数,沪深300
sse,dividend,20,20,130,99,0.7615384615384615,上证指数,中证红利
sse,sse50,20,20,130,92,0.7076923076923077,上证指数,上证50
sse,star50,20,20,40,17,0.425,上证指数,科创50
sse50,chinext,20,20,108,56,0.5185185185185185,上证50,创业板指
sse50,csi1000,20,20,138,83,0.6014492753623188,上证50,中证1000
sse50,csi300,20,20,138,98,0.7101449275362319,上证50,沪深300
sse50,dividend,20,20,138,94,0.6811594202898551,上证50,中证红利
sse50,sse,20,20,138,98,0.7101449275362319,上证50,上证指数
sse50,star50,20,20,45,23,0.5111111111111111,上证50,科创50
star50,chinext,20,20,36,21,0.5833333333333334,科创50,创业板指
star50,csi1000,20,20,36,28,0.7777777777777778,科创50,中证1000
star50,csi300,20,20,36,24,0.6666666666666666,科创50,沪深300
star50,dividend,20,20,36,21,0.5833333333333334,科创50,中证红利
star50,sse,20,20,36,24,0.6666666666666666,科创50,上证指数
star50,sse50,20,20,36,24,0.6666666666666666,科创50,上证50
chinext,csi1000,25,5,85,38,0.4470588235294118,创业板指,中证1000
chinext,csi300,25,5,85,33,0.38823529411764707,创业板指,沪深300
chinext,dividend,25,5,85,20,0.23529411764705882,创业板指,中证红利
chinext,sse,25,5,85,33,0.38823529411764707,创业板指,上证指数
chinext,sse50,25,5,85,24,0.2823529411764706,创业板指,上证50
chinext,star50,25,5,32,11,0.34375,创业板指,科创50
csi1000,chinext,25,5,87,31,0.3563218390804598,中证1000,创业板指
csi1000,csi300,25,5,108,31,0.28703703703703703,中证1000,沪深300
csi1000,dividend,25,5,108,35,0.32407407407407407,中证1000,中证红利
csi1000,sse,25,5,108,42,0.3888888888888889,中证1000,上证指数
csi1000,sse50,25,5,108,25,0.23148148148148148,中证1000,上证50
csi1000,star50,25,5,36,8,0.2222222222222222,中证1000,科创50
csi300,chinext,25,5,91,36,0.3956043956043956,沪深300,创业板指
csi300,csi1000,25,5,116,52,0.4482758620689655,沪深300,中证1000
csi300,dividend,25,5,116,57,0.49137931034482757,沪深300,中证红利
csi300,sse,25,5,116,76,0.6551724137931034,沪深300,上证指数
csi300,sse50,25,5,116,61,0.5258620689655172,沪深300,上证50
csi300,star50,25,5,35,9,0.2571428571428571,沪深300,科创50
dividend,chinext,25,5,97,19,0.1958762886597938,中证红利,创业板指
dividend,csi1000,25,5,119,43,0.36134453781512604,中证红利,中证1000
dividend,csi300,25,5,119,60,0.5042016806722689,中证红利,沪深300
dividend,sse,25,5,119,68,0.5714285714285714,中证红利,上证指数
dividend,sse50,25,5,119,49,0.4117647058823529,中证红利,上证50
dividend,star50,25,5,44,7,0.1590909090909091,中证红利,科创50
sse,chinext,25,5,91,26,0.2857142857142857,上证指数,创业板指
sse,csi1000,25,5,116,49,0.4224137931034483,上证指数,中证1000
sse,csi300,25,5,116,74,0.6379310344827587,上证指数,沪深300
sse,dividend,25,5,116,61,0.5258620689655172,上证指数,中证红利
sse,sse50,25,5,116,59,0.5086206896551724,上证指数,上证50
sse,star50,25,5,37,7,0.1891891891891892,上证指数,科创50
sse50,chinext,25,5,96,25,0.2604166666666667,上证50,创业板指
sse50,csi1000,25,5,123,37,0.3008130081300813,上证50,中证1000
sse50,csi300,25,5,123,66,0.5365853658536586,上证50,沪深300
sse50,dividend,25,5,123,56,0.45528455284552843,上证50,中证红利
sse50,sse,25,5,123,69,0.5609756097560976,上证50,上证指数
sse50,star50,25,5,41,9,0.21951219512195122,上证50,科创50
star50,chinext,25,5,34,15,0.4411764705882353,科创50,创业板指
star50,csi1000,25,5,34,12,0.35294117647058826,科创50,中证1000
star50,csi300,25,5,34,11,0.3235294117647059,科创50,沪深300
star50,dividend,25,5,34,6,0.17647058823529413,科创50,中证红利
star50,sse,25,5,34,13,0.38235294117647056,科创50,上证指数
star50,sse50,25,5,34,10,0.29411764705882354,科创50,上证50
chinext,csi1000,25,10,85,50,0.5882352941176471,创业板指,中证1000
chinext,csi300,25,10,85,38,0.4470588235294118,创业板指,沪深300
chinext,dividend,25,10,85,30,0.35294117647058826,创业板指,中证红利
chinext,sse,25,10,85,39,0.4588235294117647,创业板指,上证指数
chinext,sse50,25,10,85,31,0.36470588235294116,创业板指,上证50
chinext,star50,25,10,32,12,0.375,创业板指,科创50
csi1000,chinext,25,10,87,36,0.41379310344827586,中证1000,创业板指
csi1000,csi300,25,10,108,40,0.37037037037037035,中证1000,沪深300
csi1000,dividend,25,10,108,47,0.4351851851851852,中证1000,中证红利
csi1000,sse,25,10,108,51,0.4722222222222222,中证1000,上证指数
csi1000,sse50,25,10,108,31,0.28703703703703703,中证1000,上证50
csi1000,star50,25,10,36,10,0.2777777777777778,中证1000,科创50
csi300,chinext,25,10,91,43,0.4725274725274725,沪深300,创业板指
csi300,csi1000,25,10,116,64,0.5517241379310345,沪深300,中证1000
csi300,dividend,25,10,116,63,0.5431034482758621,沪深300,中证红利
csi300,sse,25,10,116,80,0.6896551724137931,沪深300,上证指数
csi300,sse50,25,10,116,69,0.5948275862068966,沪深300,上证50
csi300,star50,25,10,35,11,0.3142857142857143,沪深300,科创50
dividend,chinext,25,10,97,26,0.26804123711340205,中证红利,创业板指
dividend,csi1000,25,10,119,51,0.42857142857142855,中证红利,中证1000
dividend,csi300,25,10,119,63,0.5294117647058824,中证红利,沪深300
dividend,sse,25,10,119,71,0.5966386554621849,中证红利,上证指数
dividend,sse50,25,10,119,54,0.453781512605042,中证红利,上证50
dividend,star50,25,10,44,9,0.20454545454545456,中证红利,科创50
sse,chinext,25,10,91,33,0.3626373626373626,上证指数,创业板指
sse,csi1000,25,10,116,62,0.5344827586206896,上证指数,中证1000
sse,csi300,25,10,116,76,0.6551724137931034,上证指数,沪深300
sse,dividend,25,10,116,72,0.6206896551724138,上证指数,中证红利
sse,sse50,25,10,116,65,0.5603448275862069,上证指数,上证50
sse,star50,25,10,37,8,0.21621621621621623,上证指数,科创50
sse50,chinext,25,10,95,33,0.3473684210526316,上证50,创业板指
sse50,csi1000,25,10,122,51,0.4180327868852459,上证50,中证1000
sse50,csi300,25,10,122,73,0.5983606557377049,上证50,沪深300
sse50,dividend,25,10,122,67,0.5491803278688525,上证50,中证红利
sse50,sse,25,10,122,74,0.6065573770491803,上证50,上证指数
sse50,star50,25,10,40,11,0.275,上证50,科创50
star50,chinext,25,10,34,20,0.5882352941176471,科创50,创业板指
star50,csi1000,25,10,34,17,0.5,科创50,中证1000
star50,csi300,25,10,34,15,0.4411764705882353,科创50,沪深300
star50,dividend,25,10,34,9,0.2647058823529412,科创50,中证红利
star50,sse,25,10,34,14,0.4117647058823529,科创50,上证指数
star50,sse50,25,10,34,14,0.4117647058823529,科创50,上证50
chinext,csi1000,25,20,85,59,0.6941176470588235,创业板指,中证1000
chinext,csi300,25,20,85,50,0.5882352941176471,创业板指,沪深300
chinext,dividend,25,20,85,44,0.5176470588235295,创业板指,中证红利
chinext,sse,25,20,85,52,0.611764705882353,创业板指,上证指数
chinext,sse50,25,20,85,41,0.4823529411764706,创业板指,上证50
chinext,star50,25,20,32,16,0.5,创业板指,科创50
csi1000,chinext,25,20,87,48,0.5517241379310345,中证1000,创业板指
csi1000,csi300,25,20,108,52,0.48148148148148145,中证1000,沪深300
csi1000,dividend,25,20,108,61,0.5648148148148148,中证1000,中证红利
csi1000,sse,25,20,108,61,0.5648148148148148,中证1000,上证指数
csi1000,sse50,25,20,108,47,0.4351851851851852,中证1000,上证50
csi1000,star50,25,20,36,14,0.3888888888888889,中证1000,科创50
csi300,chinext,25,20,91,50,0.5494505494505495,沪深300,创业板指
csi300,csi1000,25,20,116,77,0.6637931034482759,沪深300,中证1000
csi300,dividend,25,20,116,74,0.6379310344827587,沪深300,中证红利
csi300,sse,25,20,116,88,0.7586206896551724,沪深300,上证指数
csi300,sse50,25,20,116,76,0.6551724137931034,沪深300,上证50
csi300,star50,25,20,35,15,0.42857142857142855,沪深300,科创50
dividend,chinext,25,20,97,39,0.4020618556701031,中证红利,创业板指
dividend,csi1000,25,20,119,59,0.4957983193277311,中证红利,中证1000
dividend,csi300,25,20,119,73,0.6134453781512605,中证红利,沪深300
