d1_idx,d2_idx,d3_idx,d1_date,d2_date,d3_date,d1_close,d2_close,d3_close,d1_ma,d2_ma,d3_ma,index_key,index_name,ma_window
5461,5462,5463,2026-07-02,2026-07-03,2026-07-06,4028.9,4043.64,4041.24,4064.5455,4063.8385000000003,4064.5135,sse,上证指数,20
5461,5462,5463,2026-07-02,2026-07-03,2026-07-06,4028.9,4043.64,4041.24,4066.9972,4064.7971999999995,4063.704,sse,上证指数,25
5479,5480,5481,2026-07-28,2026-07-29,2026-07-30,2923.21,2915.19,2926.48,2941.7439999999997,2938.2415,2938.9515,sse50,上证50,20
5479,5480,5481,2026-07-28,2026-07-29,2026-07-30,2923.21,2915.19,2926.48,2945.7508,2944.6023999999998,2942.5588000000002,sse50,上证50,25
5218,5219,5220,2026-07-02,2026-07-03,2026-07-06,4812.3,4842.17,4842.0,4881.1195,4877.9905,4879.244500000001,csi300,沪深300,20
5218,5219,5220,2026-07-02,2026-07-03,2026-07-06,4812.3,4842.17,4842.0,4885.054,4882.1723999999995,4880.1676,csi300,沪深300,25
5220,5221,5222,2026-07-06,2026-07-07,2026-07-08,8472.6,8301.8,8117.86,8568.681,8579.708,8569.666,csi1000,中证1000,20
5220,5221,5222,2026-07-06,2026-07-07,2026-07-08,8472.6,8301.8,8117.86,8531.8904,8530.1572,8519.480399999999,csi1000,中证1000,25
3903,3904,3905,2026-07-02,2026-07-03,2026-07-06,4017.27,4019.93,3948.86,4103.963,4100.5155,4100.061500000001,chinext,创业板指,20
3903,3904,3905,2026-07-02,2026-07-03,2026-07-06,4017.27,4019.93,3948.86,4094.8832,4090.6776,4087.1139999999996,chinext,创业板指,25
1581,1582,1583,2026-07-15,2026-07-16,2026-07-17,1924.27,1846.88,1715.4,2017.4179999999997,2017.721,2007.9155000000003,star50,科创50,20
1581,1582,1583,2026-07-15,2026-07-16,2026-07-17,1924.27,1846.88,1715.4,1953.3195999999998,1961.106,1963.2244,star50,科创50,25
