date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2010-06-01,986.02,973.23,994.79,948.12,1356285.1,chinext,创业板指,,,,,
2010-06-02,967.61,997.12,997.12,952.61,1074627.58,chinext,创业板指,,,,,
2010-06-03,1002.36,998.39,1026.7,997.78,1616805.39,chinext,创业板指,,,,,
2010-06-04,989.68,1027.68,1027.68,986.5,1500295.01,chinext,创业板指,,,,,
2010-06-07,1005.03,1069.47,1075.23,1001.7,2655275.37,chinext,创业板指,,,,,
2010-06-08,1067.32,1067.15,1075.5,1050.97,1976720.78,chinext,创业板指,,,,,
2010-06-09,1070.85,1077.82,1102.1,1069.43,2541568.09,chinext,创业板指,,,,,
2010-06-10,1077.68,1117.48,1119.11,1076.28,2197404.71,chinext,创业板指,,,,,
2010-06-11,1122.44,1122.2,1128.23,1118.71,2224874.19,chinext,创业板指,,,,,
2010-06-17,1126.13,1064.84,1129.69,1064.84,1764283.56,chinext,创业板指,,,,,
2010-06-18,1052.07,1000.28,1053.14,993.17,1630650.95,chinext,创业板指,,,,,
2010-06-21,991.96,1040.8,1043.16,976.41,1574797.64,chinext,创业板指,,,,,
2010-06-22,1037.04,1035.0,1057.37,1033.65,1427162.06,chinext,创业板指,,,,,
2010-06-23,1026.87,1047.34,1056.35,1023.74,1257359.43,chinext,创业板指,,,,,
2010-06-24,1046.76,1050.6,1059.75,1041.54,1069132.94,chinext,创业板指,,,,,
2010-06-25,1046.21,1016.28,1046.21,999.16,1237298.34,chinext,创业板指,,,,,
2010-06-28,1009.22,987.83,1014.41,984.22,920673.32,chinext,创业板指,,,,,
2010-06-29,985.57,913.31,992.23,912.54,1497799.69,chinext,创业板指,,,,,
2010-06-30,898.29,919.31,921.81,881.36,1223661.04,chinext,创业板指,,,,,
2010-07-01,914.4,882.19,921.21,882.19,1049572.91,chinext,创业板指,1020.4159999999999,,,,
2010-07-02,878.95,873.12,885.34,832.62,1288833.5,chinext,创业板指,1015.4105,,,,
2010-07-05,857.37,862.27,870.86,842.73,915864.33,chinext,创业板指,1008.668,,,,
2010-07-06,859.26,893.72,898.45,857.8,1165231.57,chinext,创业板指,1003.4345,,,,
2010-07-07,896.53,908.55,908.55,890.34,1046162.96,chinext,创业板指,997.4780000000001,,,,
2010-07-08,912.0,905.51,914.3,887.03,1098087.88,chinext,创业板指,989.28,994.0595999999999,,,
2010-07-09,903.5,932.15,936.53,896.89,1451460.33,chinext,创业板指,982.53,992.4164,,,
2010-07-12,931.54,930.17,941.07,924.06,1263617.53,chinext,创业板指,975.1475,989.7384000000001,,,
2010-07-13,924.95,931.08,936.64,906.3,1468657.41,chinext,创业板指,965.8275,987.0459999999999,,,
2010-07-14,929.75,922.36,937.93,916.07,1423586.18,chinext,创业板指,955.8354999999999,982.8332,,,
2010-07-15,920.05,892.56,930.56,892.56,1175880.81,chinext,创业板指,947.2215,975.7568000000001,,,
2010-07-16,885.07,892.3,895.06,869.02,1009312.28,chinext,创业板指,941.8225,968.7628,,,
2010-07-19,881.66,908.05,910.18,878.07,938802.57,chinext,创业板指,935.1850000000001,961.972,,,
2010-07-20,909.54,937.02,937.55,909.54,1365808.67,chinext,创业板指,930.2860000000001,954.7536,,,
2010-07-21,940.1,941.25,959.04,938.16,1665745.58,chinext,创业板指,924.9815000000001,947.5156,,,
2010-07-22,938.22,950.21,950.21,932.02,1326602.71,chinext,创业板指,919.9619999999999,942.9304,,,
2010-07-23,951.84,960.59,964.74,948.13,1721251.33,chinext,创业板指,917.1775,941.3428,,,
2010-07-26,962.76,966.15,966.73,954.76,1476035.66,chinext,创业板指,916.0935000000002,938.3568,,,
2010-07-27,963.54,957.97,968.04,955.73,1361821.3,chinext,创业板指,918.3264999999999,935.2755999999999,,,
2010-07-28,955.19,972.53,972.53,954.52,1566182.68,chinext,创业板指,920.9875,932.2832000000001,,,
2010-07-29,974.3,975.36,982.02,965.61,1794193.09,chinext,创业板指,925.646,929.2735999999999,,,
2010-07-30,971.66,968.43,971.66,955.92,1458486.78,chinext,创业板指,930.4114999999999,927.3595999999999,,,
2010-08-02,968.45,994.23,994.23,968.45,1810364.29,chinext,创业板指,937.0095000000001,927.6156,,,
2010-08-03,995.2,975.65,996.26,975.65,1757058.77,chinext,创业板指,941.106,930.1092,,,
2010-08-04,971.41,978.01,978.01,955.93,1446165.38,chinext,创业板指,944.5790000000001,932.4572000000001,,,
2010-08-05,980.27,987.35,998.1,978.33,1770399.72,chinext,创业板指,948.6709999999999,936.6636,,,
2010-08-06,987.97,1011.39,1011.39,985.63,1899061.35,chinext,创业板指,952.633,942.1944,,,
2010-08-09,1013.25,1032.34,1032.34,1013.25,2091995.02,chinext,创业板指,957.7414999999999,948.9972,,,
2010-08-10,1031.98,993.99,1034.33,993.99,2177071.59,chinext,创业板指,960.8870000000001,953.008,,,
2010-08-11,991.28,1004.64,1006.45,990.94,1615078.22,chinext,创业板指,965.001,956.8516000000001,,,
2010-08-12,994.05,991.78,1007.58,987.98,1689189.23,chinext,创业板指,969.9619999999999,960.3023999999999,,,
2010-08-13,992.63,1007.21,1007.52,986.62,1471798.42,chinext,创业板指,975.7074999999999,963.3048,,,
2010-08-16,1007.5,1030.22,1031.05,1005.05,1880400.07,chinext,创业板指,981.816,967.3068,,,
2010-08-17,1031.08,1033.58,1036.82,1023.08,1800777.1,chinext,创业板指,986.6439999999999,971.4068,,,
2010-08-18,1033.71,1026.72,1035.61,1018.5,1643501.47,chinext,创业板指,990.9174999999999,975.5812,,,
2010-08-19,1026.98,1025.53,1033.25,1021.7,1624534.28,chinext,创业板指,994.6834999999999,980.9,,,
2010-08-20,1021.46,995.94,1022.45,993.56,1870224.76,chinext,创业板指,996.451,985.0455999999999,,,
2010-08-23,994.94,995.61,1001.18,991.52,1456014.46,chinext,创业板指,997.924,988.548,,,
2010-08-24,993.58,1004.99,1007.76,987.22,1365051.73,chinext,创业板指,1000.275,991.2667999999999,,,
2010-08-25,1000.27,976.88,1002.33,976.56,1501342.72,chinext,创业板指,1000.4925,992.692,,,
2010-08-26,978.6,980.63,984.87,973.0,1288066.54,chinext,创业板指,1000.7560000000001,993.9088,982.2726666666666,,
2010-08-27,978.51,999.46,1000.86,975.72,1216242.94,chinext,创业板指,1002.3075000000001,995.4636,982.7098333333332,,
2010-08-30,1002.99,1024.93,1025.15,1002.99,1645412.25,chinext,创业板指,1003.8425,997.8148,983.1733333333334,,
2010-08-31,1020.75,1025.57,1029.8,1015.13,1534699.89,chinext,创业板指,1006.3385000000001,1000.5188,983.6263333333334,,
2010-09-01,1025.68,995.59,1029.81,987.59,1864362.6,chinext,创业板指,1007.2175,1001.4412,983.0915,,
2010-09-02,1001.6,1014.92,1018.28,996.52,1630857.43,chinext,创业板指,1008.5959999999999,1003.0236,982.1823333333334,,
2010-09-03,1017.64,1036.7,1045.21,1017.51,2289365.21,chinext,创业板指,1009.8615,1005.7544,981.6748333333333,,
2010-09-06,1039.46,1010.76,1043.24,1007.43,1813080.84,chinext,创业板指,1008.7825,1006.4155999999999,980.5571666666667,,
2010-09-07,1010.12,1022.62,1022.62,1007.64,1284514.98,chinext,创业板指,1010.2139999999999,1008.2944,978.9761666666666,,
2010-09-08,1020.23,1026.33,1027.64,1016.84,1403818.69,chinext,创业板指,1011.2984999999999,1010.2271999999998,977.3783333333333,,
2010-09-09,1029.11,1021.83,1040.67,1019.69,1959802.72,chinext,创业板指,1012.801,1011.6064,976.6615,,
2010-09-10,1021.87,1034.94,1037.51,1016.19,1812290.17,chinext,创业板指,1014.1875,1012.5484,977.2391666666666,,
2010-09-13,1034.39,1042.48,1045.39,1033.25,1667889.99,chinext,创业板指,1014.8004999999999,1012.954,977.2671666666666,,
2010-09-14,1044.3,1031.22,1046.13,1028.77,1590231.68,chinext,创业板指,1014.6825000000001,1014.4431999999999,977.2041666666667,,
2010-09-15,1029.52,990.1,1030.02,987.05,1818273.87,chinext,创业板指,1012.8515,1013.8615999999998,976.2501666666666,,
2010-09-16,989.49,972.6,994.95,964.53,1442058.21,chinext,创业板指,1010.2050000000002,1013.0944000000001,974.9501666666666,,
2010-09-17,976.07,972.23,981.73,967.56,967840.58,chinext,创业板指,1009.0195,1011.6952,974.216,,
2010-09-20,972.45,949.2,975.26,947.41,923658.76,chinext,创业板指,1006.699,1008.4544000000001,973.5721666666666,,
2010-09-21,952.07,934.46,953.83,930.25,835858.59,chinext,创业板指,1003.1725,1004.4895999999999,973.9246666666667,,
2010-09-27,936.21,950.67,951.84,930.87,892936.64,chinext,创业板指,1001.8620000000001,1001.4476000000001,974.4473333333334,,
2010-09-28,949.63,942.05,949.89,939.63,939433.91,chinext,创业板指,999.933,998.1084000000001,975.4449999999999,,
2010-09-29,941.27,926.76,944.17,924.42,831735.35,chinext,创业板指,996.298,995.3412,976.3389999999999,,
2010-09-30,923.83,942.54,942.54,921.36,699737.38,chinext,创业板指,992.1785,993.2184,977.6768333333333,,
2010-10-08,946.47,959.86,963.18,945.62,1083960.14,chinext,创业板指,988.893,991.4132000000001,978.7791666666667,,
2010-10-11,960.91,947.11,961.17,941.91,1446870.07,chinext,创业板指,986.469,990.2224000000001,979.4218333333333,,
2010-10-12,946.63,951.79,959.98,945.01,1240192.09,chinext,创业板指,983.3125,989.0687999999999,980.1931666666667,,
2010-10-13,951.33,962.74,962.74,940.65,1330516.64,chinext,创业板指,979.6145,987.6,980.703,,
2010-10-14,963.29,958.5,975.91,956.86,1396405.43,chinext,创业板指,977.0015,984.9428,981.1751666666667,,
2010-10-15,954.12,944.25,957.77,937.12,1352498.42,chinext,创业板指,973.083,981.69,981.3946666666667,,
2010-10-18,941.87,932.36,941.87,913.82,1327875.76,chinext,创业板指,968.3845000000001,979.1608,981.5613333333333,,
2010-10-19,932.83,995.92,1005.59,932.32,2339086.28,chinext,创业板指,967.0889999999999,978.4008,983.284,,
2010-10-20,986.65,1004.54,1024.58,986.03,2638132.69,chinext,创业板指,965.5690000000001,977.1144,985.1546666666667,,
2010-10-21,1001.68,991.84,1001.68,983.66,1569122.93,chinext,创业板指,963.037,976.3575999999999,986.5511666666666,,
2010-10-22,991.14,1013.45,1023.7,991.14,1765748.84,chinext,创业板指,962.1485,975.9908,987.825,,
2010-10-25,1018.08,1039.05,1043.09,1018.08,2063689.12,chinext,创业板指,964.5960000000001,976.4996000000001,989.4549999999999,,
2010-10-26,1041.53,1036.01,1041.91,1020.94,1838413.53,chinext,创业板指,967.7665,977.0668,990.885,,
2010-10-27,1034.86,1030.59,1048.56,1028.7,1701689.33,chinext,创业板指,970.6845,976.8928,992.0516666666666,,
2010-10-28,1024.7,1038.62,1038.62,1023.49,1592477.19,chinext,创业板指,975.1555000000001,976.7384000000001,993.2595,,
