date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2005-01-04,994.77,982.79,994.77,980.66,7412869.0,csi300,沪深300,,,,,
2005-01-05,981.58,992.56,997.32,979.88,7119109.0,csi300,沪深300,,,,,
2005-01-06,993.33,983.17,993.79,980.33,6288029.0,csi300,沪深300,,,,,
2005-01-07,983.04,983.96,995.71,979.81,7298694.0,csi300,沪深300,,,,,
2005-01-10,983.76,993.88,993.96,979.79,5791698.0,csi300,沪深300,,,,,
2005-01-11,994.19,997.14,999.55,991.09,5849080.0,csi300,沪深300,,,,,
2005-01-12,996.65,996.75,996.98,989.26,5014525.0,csi300,沪深300,,,,,
2005-01-13,996.08,996.88,999.47,992.7,6044066.0,csi300,沪深300,,,,,
2005-01-14,996.62,988.31,1006.46,987.23,7297842.0,csi300,沪深300,,,,,
2005-01-17,979.11,967.45,981.52,965.08,7288189.0,csi300,沪深300,,,,,
2005-01-18,967.37,974.69,974.87,960.29,7311848.0,csi300,沪深300,,,,,
2005-01-19,974.33,967.21,974.33,965.26,6338091.0,csi300,沪深300,,,,,
2005-01-20,963.21,956.25,963.21,952.23,7727106.0,csi300,沪深300,,,,,
2005-01-21,954.46,982.6,984.27,943.44,14450060.0,csi300,沪深300,,,,,
2005-01-24,1001.85,998.13,1001.85,986.24,14359462.0,csi300,沪深300,,,,,
2005-01-25,995.64,997.78,997.95,985.24,9862529.0,csi300,沪深300,,,,,
2005-01-26,995.78,989.93,999.47,988.48,7663290.0,csi300,沪深300,,,,,
2005-01-27,987.34,974.63,987.7,973.77,6945365.0,csi300,沪深300,,,,,
2005-01-28,974.63,969.21,975.62,965.21,5748807.0,csi300,沪深300,,,,,
2005-01-31,965.79,954.88,965.79,953.14,6788706.0,csi300,沪深300,982.4100000000001,,,,
2005-02-01,953.33,955.95,965.48,952.74,7433067.0,csi300,沪深300,981.068,,,,
2005-02-02,956.7,1006.91,1006.93,956.7,17057338.0,csi300,沪深300,981.7855000000002,,,,
2005-02-03,1005.56,993.22,1014.19,992.16,16974540.0,csi300,沪深300,982.2879999999999,,,,
2005-02-04,992.25,1016.86,1021.03,989.94,15736215.0,csi300,沪深300,983.933,,,,
2005-02-16,1023.32,1023.58,1033.25,1018.49,12131293.0,csi300,沪深300,985.418,985.7888,,,
2005-02-17,1024.43,1020.61,1024.43,1010.48,8968298.0,csi300,沪深300,986.5915000000001,987.3016,,,
2005-02-18,1020.12,1006.06,1021.2,1005.63,8139939.0,csi300,沪深300,987.057,987.8416000000001,,,
2005-02-21,1006.69,1025.63,1025.66,1006.69,9886094.0,csi300,沪深300,988.4945,989.54,,,
2005-02-22,1026.84,1046.74,1048.68,1024.53,17937842.0,csi300,沪深300,991.4159999999999,992.0512,,,
2005-02-23,1046.81,1043.94,1049.61,1036.62,18696930.0,csi300,沪深300,995.2405000000001,994.0536,,,
2005-02-24,1042.25,1045.46,1045.96,1034.73,14681789.0,csi300,沪深300,998.7790000000001,995.9864,,,
2005-02-25,1046.27,1046.76,1059.48,1045.98,18170004.0,csi300,沪深300,1002.7564999999998,997.9867999999999,,,
2005-02-28,1046.21,1039.99,1048.28,1035.04,12971046.0,csi300,沪深300,1006.9435,999.7112,,,
2005-03-01,1039.35,1035.93,1042.74,1031.17,9962090.0,csi300,沪深300,1009.61,1001.6160000000001,,,
2005-03-02,1036.37,1021.32,1045.76,1021.0,14225136.0,csi300,沪深300,1010.7695,1003.7708,,,
2005-03-03,1019.88,1027.71,1028.4,1014.75,9203086.0,csi300,沪深300,1012.266,1005.8916,,,
2005-03-04,1027.93,1023.67,1031.85,1022.18,8173641.0,csi300,沪深300,1013.9530000000001,1008.15,,,
2005-03-07,1024.48,1029.87,1031.34,1024.48,7932950.0,csi300,沪深300,1016.7149999999999,1011.0948,,,
