date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2005-01-04,996.38,981.56,996.38,979.59,1803026.0,dividend,中证红利,,,,,
2005-01-05,981.11,986.54,990.85,977.48,1646496.0,dividend,中证红利,,,,,
2005-01-06,987.01,975.53,987.01,972.49,1600631.0,dividend,中证红利,,,,,
2005-01-07,975.58,980.72,987.92,973.38,1740062.0,dividend,中证红利,,,,,
2005-01-10,979.75,989.53,989.53,975.96,1478433.0,dividend,中证红利,,,,,
2005-01-11,989.48,990.28,993.73,986.62,1316372.0,dividend,中证红利,,,,,
2005-01-12,988.4,989.82,989.82,983.75,1167831.0,dividend,中证红利,,,,,
2005-01-13,989.48,989.73,991.91,985.54,1423338.0,dividend,中证红利,,,,,
2005-01-14,989.97,984.76,997.38,983.34,1417698.0,dividend,中证红利,,,,,
2005-01-17,976.16,961.33,976.89,960.21,1904201.0,dividend,中证红利,,,,,
2005-01-18,960.48,965.39,965.39,951.74,1906761.0,dividend,中证红利,,,,,
2005-01-19,964.37,959.25,964.37,957.16,1533623.0,dividend,中证红利,,,,,
2005-01-20,955.12,949.45,955.12,945.4,1905641.0,dividend,中证红利,,,,,
2005-01-21,948.03,976.92,976.92,944.14,3368311.0,dividend,中证红利,,,,,
2005-01-24,987.64,992.22,992.35,980.46,3568089.0,dividend,中证红利,,,,,
2005-01-25,989.75,994.67,994.67,979.74,2561392.0,dividend,中证红利,,,,,
2005-01-26,989.92,988.22,995.89,987.33,2019910.0,dividend,中证红利,,,,,
2005-01-27,987.63,976.56,987.63,976.43,1683223.0,dividend,中证红利,,,,,
2005-01-28,976.56,969.62,976.56,966.09,1602798.0,dividend,中证红利,,,,,
2005-01-31,967.01,959.1,968.11,957.24,1740439.0,dividend,中证红利,978.0600000000001,,,,
2005-02-01,957.8,962.42,969.47,957.8,1962630.0,dividend,中证红利,977.1029999999998,,,,
2005-02-02,963.16,1012.53,1012.53,963.16,4783079.0,dividend,中证红利,978.4025000000001,,,,
2005-02-03,1013.1,1004.11,1022.55,1003.76,5091645.0,dividend,中证红利,979.8314999999999,,,,
2005-02-04,1002.83,1027.26,1030.93,999.46,4947802.0,dividend,中证红利,982.1585000000001,,,,
2005-02-16,1033.08,1034.99,1044.29,1027.75,3744123.0,dividend,中证红利,984.4314999999999,984.1003999999999,,,
2005-02-17,1035.38,1028.54,1035.38,1021.77,2554155.0,dividend,中证红利,986.3444999999999,985.9795999999999,,,
2005-02-18,1028.25,1013.78,1029.39,1013.56,2082336.0,dividend,中证红利,987.5424999999999,987.0692000000001,,,
2005-02-21,1013.86,1032.69,1032.69,1013.86,2433877.0,dividend,中证红利,989.6905,989.3556,,,
