date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2004-01-02,1492.72,1517.19,1526.24,1491.69,18978088.0,sse,上证指数,,,,,
2004-01-05,1516.8,1568.35,1568.81,1516.7,32784966.0,sse,上证指数,,,,,
2004-01-06,1568.9,1574.52,1589.08,1557.93,36703572.0,sse,上证指数,,,,,
2004-01-07,1574.1,1587.2,1595.0,1565.09,34482972.0,sse,上证指数,,,,,
2004-01-08,1587.45,1610.13,1616.58,1582.88,32013228.0,sse,上证指数,,,,,
2004-01-09,1612.39,1581.47,1618.76,1579.69,35958288.0,sse,上证指数,,,,,
2004-01-12,1579.88,1618.52,1619.09,1573.77,26156496.0,sse,上证指数,,,,,
2004-01-13,1622.05,1612.68,1627.49,1596.72,28434554.0,sse,上证指数,,,,,
2004-01-14,1612.92,1592.42,1613.15,1585.91,22763200.0,sse,上证指数,,,,,
2004-01-15,1591.82,1586.49,1601.41,1582.36,20285774.0,sse,上证指数,,,,,
2004-01-16,1589.38,1600.43,1604.76,1579.24,21985944.0,sse,上证指数,,,,,
2004-01-29,1605.25,1628.84,1629.18,1603.31,19910392.0,sse,上证指数,,,,,
2004-01-30,1631.11,1590.73,1634.41,1589.4,26500536.0,sse,上证指数,,,,,
2004-02-02,1630.65,1623.88,1650.29,1585.96,40309888.0,sse,上证指数,,,,,
2004-02-03,1625.29,1649.28,1650.24,1615.81,28195284.0,sse,上证指数,,,,,
2004-02-04,1652.61,1685.16,1685.77,1652.61,36039924.0,sse,上证指数,,,,,
2004-02-05,1690.94,1693.43,1693.9,1674.62,36343792.0,sse,上证指数,,,,,
2004-02-06,1690.56,1679.19,1705.91,1671.4,36763884.0,sse,上证指数,,,,,
2004-02-09,1679.58,1703.53,1703.77,1679.1,28825142.0,sse,上证指数,,,,,
2004-02-10,1708.9,1691.01,1715.46,1683.6,30284730.0,sse,上证指数,1619.7225,,,,
2004-02-11,1691.61,1677.76,1692.9,1660.01,29288748.0,sse,上证指数,1627.751,,,,
2004-02-12,1679.08,1663.83,1693.01,1660.31,29156698.0,sse,上证指数,1632.525,,,,
