date,open,close,high,low,amount,instrument_key,instrument_name,ma20,ma25,ma60,ma120,ma200
2020-01-02,1005.62,1019.72,1019.91,1005.62,1659069.87,star50,科创50,,,,,
2020-01-03,1021.67,1024.48,1029.07,1018.68,1661490.31,star50,科创50,,,,,
2020-01-06,1020.0,1027.28,1040.14,1020.0,1843350.92,star50,科创50,,,,,
2020-01-07,1025.66,1043.08,1043.08,1019.86,1874966.02,star50,科创50,,,,,
2020-01-08,1035.84,1051.16,1059.44,1034.51,2379123.51,star50,科创50,,,,,
2020-01-09,1060.58,1078.31,1081.4,1060.58,2113303.02,star50,科创50,,,,,
2020-01-10,1082.31,1076.44,1088.54,1076.44,1903194.03,star50,科创50,,,,,
2020-01-13,1076.76,1105.85,1105.85,1069.78,1859663.16,star50,科创50,,,,,
2020-01-14,1107.78,1118.31,1133.9,1107.78,2453502.28,star50,科创50,,,,,
2020-01-15,1113.25,1114.77,1120.35,1105.58,1799323.86,star50,科创50,,,,,
2020-01-16,1116.51,1154.3,1161.48,1116.51,2243416.7,star50,科创50,,,,,
2020-01-17,1159.37,1238.66,1252.56,1159.37,4408889.69,star50,科创50,,,,,
2020-01-20,1239.44,1240.51,1270.36,1208.69,3681522.83,star50,科创50,,,,,
2020-01-21,1233.65,1195.01,1247.84,1194.8,2747565.49,star50,科创50,,,,,
2020-01-22,1178.78,1244.52,1247.61,1157.29,3421028.13,star50,科创50,,,,,
2020-01-23,1219.23,1202.1,1262.44,1177.09,2735159.4,star50,科创50,,,,,
2020-02-03,1018.28,1030.55,1082.79,1015.6,3860472.6,star50,科创50,,,,,
2020-02-04,1049.96,1153.23,1153.23,1049.96,3479659.65,star50,科创50,,,,,
2020-02-05,1166.97,1203.61,1240.37,1166.97,3920359.99,star50,科创50,,,,,
2020-02-06,1191.73,1238.76,1251.84,1191.73,3684341.13,star50,科创50,1128.0325,,,,
2020-02-07,1240.04,1307.76,1307.76,1234.23,3745513.41,star50,科创50,1142.4344999999998,,,,
2020-02-10,1310.53,1322.25,1336.53,1293.43,4394873.78,star50,科创50,1157.3229999999999,,,,
2020-02-11,1318.42,1283.57,1318.42,1266.21,3304646.13,star50,科创50,1170.1375,,,,
2020-02-12,1274.8,1348.7,1360.55,1274.8,3113607.71,star50,科创50,1185.4185,,,,
2020-02-13,1360.13,1360.71,1409.68,1353.04,3998880.22,star50,科创50,1200.896,1167.3455999999999,,,
2020-02-14,1359.37,1327.22,1382.96,1305.97,3537072.54,star50,科创50,1213.3415,1179.6456,,,
2020-02-17,1332.97,1381.55,1381.55,1332.97,3279010.95,star50,科创50,1228.597,1193.9284,,,
2020-02-18,1381.58,1399.38,1404.71,1372.53,3235240.83,star50,科创50,1243.2735,1208.8124,,,
2020-02-19,1398.78,1373.44,1412.17,1373.44,3209051.08,star50,科创50,1256.03,1222.0267999999999,,,
2020-02-20,1377.76,1348.34,1390.02,1321.73,2829190.53,star50,科创50,1267.7085,1233.914,,,
2020-02-21,1337.56,1346.86,1373.67,1337.56,2419279.63,star50,科创50,1277.3365,1244.656,,,
2020-02-24,1341.99,1351.71,1359.23,1328.75,2511362.26,star50,科创50,1282.989,1255.6668,,,
2020-02-25,1312.48,1367.37,1371.58,1312.48,2923589.49,star50,科创50,1289.3319999999999,1266.1276,,,
2020-02-26,1348.08,1288.24,1361.01,1286.35,3155495.37,star50,科创50,1293.9935,1272.9248,,,
2020-02-27,1293.19,1264.94,1293.19,1251.45,2182398.27,star50,科创50,1295.0144999999998,1278.9316,,,
2020-02-28,1206.86,1191.05,1231.09,1187.1,2606738.72,star50,科创50,1294.462,1280.4016,,,
2020-03-02,1202.96,1252.62,1259.08,1194.94,2928260.72,star50,科创50,1305.5655000000002,1280.96,,,
2020-03-03,1278.27,1285.03,1332.84,1272.06,2967961.36,star50,科创50,1312.1555,1282.7408,,,
2020-03-04,1268.83,1255.72,1277.69,1226.8,1932420.42,star50,科创50,1314.761,1285.1692,,,
2020-03-05,1277.71,1264.79,1277.71,1246.71,2621459.59,star50,科创50,1316.0624999999998,1285.9799999999998,,,
2020-03-06,1246.1,1243.37,1255.07,1237.62,1829908.2,star50,科创50,1312.843,1287.6308,,,
2020-03-09,1216.04,1171.86,1223.25,1171.86,2345172.51,star50,科创50,1305.3235,1293.2832,,,
2020-03-10,1148.4,1216.33,1216.33,1135.21,2430773.26,star50,科创50,1301.9615,1295.8072,,,
2020-03-11,1218.52,1184.71,1233.43,1184.71,2842993.05,star50,科创50,1293.762,1295.0511999999999,,,
2020-03-12,1161.92,1167.06,1177.36,1151.79,1752732.09,star50,科创50,1284.0795,1292.1832,,,
2020-03-13,1103.96,1175.28,1187.7,1103.96,2010674.15,star50,科创50,1276.4824999999998,1286.884,,,
2020-03-16,1188.08,1115.08,1200.46,1115.08,1920521.79,star50,科创50,1263.159,1278.5972,,,
2020-03-17,1132.95,1131.55,1141.39,1079.84,1712221.18,star50,科创50,1249.7675,1272.5164,,,
2020-03-18,1145.3,1115.02,1173.23,1115.02,1771201.22,star50,科创50,1236.8465,1263.1692,,,
2020-03-19,1116.26,1128.97,1133.69,1091.24,1624408.73,star50,科创50,1225.878,1253.8996,,,
2020-03-20,1140.09,1127.37,1148.09,1114.29,1238238.48,star50,科创50,1214.9035,1245.9056,,,
2020-03-23,1092.5,1039.88,1096.4,1037.53,1609856.05,star50,科创50,1199.312,1232.2387999999999,,,
2020-03-24,1067.01,1060.84,1071.34,1020.25,1286895.86,star50,科创50,1183.9855,1218.6971999999998,,,
2020-03-25,1097.31,1101.32,1110.1,1094.16,1489274.43,star50,科创50,1174.6394999999998,1207.8123999999998,,,
2020-03-26,1093.33,1095.34,1111.48,1091.0,1061916.61,star50,科创50,1166.1595,1197.6924,,,
2020-03-27,1109.54,1084.51,1110.54,1082.93,1314576.05,star50,科创50,1160.8325,1187.1984,,,
2020-03-30,1062.9,1035.83,1062.9,1021.5,1223683.63,star50,科创50,1149.993,1174.5631999999998,,,
2020-03-31,1048.74,1029.75,1055.27,1027.22,906230.43,star50,科创50,1137.2289999999998,1161.0584,,,
2020-04-01,1026.58,1037.93,1060.71,1026.58,980422.8,star50,科创50,1126.3394999999998,1151.0459999999998,,,
2020-04-02,1033.56,1094.83,1094.83,1033.56,1101783.25,star50,科创50,1117.8415,1144.2416,1187.3121666666666,,
2020-04-03,1089.24,1080.53,1095.31,1074.19,949516.58,star50,科创50,1109.6995,1139.8208,1188.3256666666666,,
2020-04-07,1109.61,1111.65,1117.79,1108.78,1114525.91,star50,科创50,1106.6889999999999,1134.182,1189.7785000000001,,
2020-04-08,1104.96,1104.14,1117.81,1100.31,898135.4,star50,科创50,1101.0795,1126.9464,1191.0595,,
2020-04-09,1107.47,1101.28,1110.06,1094.92,821338.7,star50,科创50,1096.908,1120.7687999999998,1192.0295,,
2020-04-10,1100.37,1058.44,1100.37,1054.35,1009643.72,star50,科创50,1091.477,1112.5148000000002,1192.1508333333334,,
2020-04-13,1048.21,1042.15,1052.01,1038.82,676188.53,star50,科创50,1084.8205,1104.466,1191.5481666666667,,
2020-04-14,1049.21,1073.22,1073.22,1049.21,705676.12,star50,科创50,1082.7275,1100.5204,1191.4945,,
2020-04-15,1076.94,1088.2,1101.67,1076.94,818561.29,star50,科创50,1080.56,1095.3952,1191.2003333333332,,
2020-04-16,1080.87,1091.93,1097.2,1080.87,730030.11,star50,科创50,1079.4055,1091.6840000000002,1190.7606666666666,,
2020-04-17,1102.66,1117.07,1129.12,1102.66,1443511.18,star50,科创50,1078.8105,1089.6844,1190.799,,
2020-04-20,1119.26,1133.36,1133.36,1115.72,938727.71,star50,科创50,1079.11,1088.0076000000001,1190.45,,
2020-04-21,1127.66,1119.23,1127.66,1108.48,884065.6,star50,科创50,1083.0775,1088.1736,1188.4595,,
2020-04-22,1108.68,1135.85,1135.85,1108.68,855650.78,star50,科创50,1086.828,1088.3455999999999,1186.7151666666666,,
2020-04-23,1140.8,1149.72,1157.87,1140.55,1188320.48,star50,科创50,1089.248,1089.7336,1185.9603333333332,,
2020-04-24,1148.59,1144.15,1155.54,1139.31,1290375.93,star50,科创50,1091.6885,1090.3408,1184.2875,,
2020-04-27,1140.19,1138.1,1145.75,1136.23,883700.33,star50,科创50,1094.368,1090.77,1183.2208333333333,,
2020-04-28,1130.61,1113.51,1130.61,1037.26,1582965.96,star50,科创50,1098.252,1093.7152,1184.6035,,
2020-04-29,1105.6,1102.7,1125.19,1102.57,899789.97,star50,科创50,1101.8995,1095.3896,1183.7613333333331,,
2020-04-30,1107.43,1166.35,1171.8,1107.43,1387471.71,star50,科创50,1108.3205,1097.9908,1183.1403333333333,,
2020-05-06,1155.12,1247.51,1252.75,1155.12,2171814.85,star50,科创50,1115.9545,1104.0776,1183.2861666666665,,
2020-05-07,1249.64,1224.1,1249.64,1218.24,1619519.36,star50,科创50,1123.133,1109.6612,1181.8918333333334,,
2020-05-08,1230.91,1240.25,1272.62,1230.91,1440638.4,star50,科创50,1129.5629999999999,1117.838,1180.5251666666666,,
2020-05-11,1244.3,1226.06,1268.08,1215.97,1166807.49,star50,科创50,1135.659,1125.6904000000002,1179.5666666666666,,
