index_name,ma_window,d1_candidates,d2_reached,d3_true_breakdowns,d1_to_d2,d2_to_d3,d1_to_d3,candidate_r1,candidate_r2,r3_confirmed,r1_to_r2,r2_to_r3,r1_to_r3
上证指数,20,205,160,131,0.780488,0.818750,0.639024,190,154,130,0.810526,0.844156,0.684211
上证指数,25,177,135,117,0.762712,0.866667,0.661017,178,141,116,0.792135,0.822695,0.651685
上证50,20,223,161,140,0.721973,0.869565,0.627803,210,160,139,0.761905,0.868750,0.661905
上证50,25,189,142,124,0.751323,0.873239,0.656085,209,157,123,0.751196,0.783439,0.588517
沪深300,20,201,156,133,0.776119,0.852564,0.661692,209,162,132,0.775120,0.814815,0.631579
沪深300,25,189,140,117,0.740741,0.835714,0.619048,174,144,116,0.827586,0.805556,0.666667
中证1000,20,197,151,132,0.766497,0.874172,0.670051,194,152,131,0.783505,0.861842,0.675258
中证1000,25,175,138,109,0.788571,0.789855,0.622857,162,126,108,0.777778,0.857143,0.666667
创业板指,20,172,128,103,0.744186,0.804688,0.598837,155,115,102,0.741935,0.886957,0.658065
创业板指,25,148,105,86,0.709459,0.819048,0.581081,129,96,85,0.744186,0.885417,0.658915
科创50,20,61,47,37,0.770492,0.787234,0.606557,61,41,36,0.672131,0.878049,0.590164
科创50,25,55,45,35,0.818182,0.777778,0.636364,52,37,34,0.711538,0.918919,0.653846
中证红利,20,205,159,134,0.775610,0.842767,0.653659,188,151,134,0.803191,0.887417,0.712766
中证红利,25,177,134,119,0.757062,0.888060,0.672316,171,137,119,0.801170,0.868613,0.695906
